"도로형태별","시간대별","월별","항목","단위","2017 년","2018 년","2019 년","2020 년","2021 년",
"터널안","00시-02시","전체","사고건수[건]","건","26","30","30","27","31",
"터널안","00시-02시","전체","사망자수[명]","명","2","2","2","1","6",
"터널안","00시-02시","전체","부상자수[명]","명","60","50","47","41","48",
"터널안","00시-02시","1월","사고건수[건]","건","3","6","4","1","1",
"터널안","00시-02시","1월","사망자수[명]","명","0","0","0","0","0",
"터널안","00시-02시","1월","부상자수[명]","명","8","9","5","3","1",
"터널안","00시-02시","2월","사고건수[건]","건","1","3","4","2","5",
"터널안","00시-02시","2월","사망자수[명]","명","0","0","1","0","1",
"터널안","00시-02시","2월","부상자수[명]","명","4","7","5","5","8",
"터널안","00시-02시","3월","사고건수[건]","건","2","2","","4","3",
"터널안","00시-02시","3월","사망자수[명]","명","0","0","","0","0",
"터널안","00시-02시","3월","부상자수[명]","명","8","3","","5","5",
"터널안","00시-02시","4월","사고건수[건]","건","","2","2","2","",
"터널안","00시-02시","4월","사망자수[명]","명","","0","0","0","",
"터널안","00시-02시","4월","부상자수[명]","명","","2","4","3","",
"터널안","00시-02시","5월","사고건수[건]","건","3","3","5","3","1",
"터널안","00시-02시","5월","사망자수[명]","명","0","1","1","0","0",
"터널안","00시-02시","5월","부상자수[명]","명","7","4","7","3","2",
"터널안","00시-02시","6월","사고건수[건]","건","2","2","1","1","1",
"터널안","00시-02시","6월","사망자수[명]","명","0","0","0","0","0",
"터널안","00시-02시","6월","부상자수[명]","명","2","2","2","3","1",
"터널안","00시-02시","7월","사고건수[건]","건","2","3","1","2","4",
"터널안","00시-02시","7월","사망자수[명]","명","0","1","0","1","2",
"터널안","00시-02시","7월","부상자수[명]","명","6","7","1","2","7",
"터널안","00시-02시","8월","사고건수[건]","건","3","1","3","3","1",
"터널안","00시-02시","8월","사망자수[명]","명","0","0","0","0","0",
"터널안","00시-02시","8월","부상자수[명]","명","7","3","4","4","4",
"터널안","00시-02시","9월","사고건수[건]","건","2","1","1","1","2",
"터널안","00시-02시","9월","사망자수[명]","명","0","0","0","0","0",
"터널안","00시-02시","9월","부상자수[명]","명","4","1","1","1","2",
"터널안","00시-02시","10월","사고건수[건]","건","1","1","3","3","7",
"터널안","00시-02시","10월","사망자수[명]","명","1","0","0","0","0",
"터널안","00시-02시","10월","부상자수[명]","명","0","1","5","4","11",
"터널안","00시-02시","11월","사고건수[건]","건","4","1","2","1","4",
"터널안","00시-02시","11월","사망자수[명]","명","1","0","0","0","2",
"터널안","00시-02시","11월","부상자수[명]","명","10","3","2","3","4",
"터널안","00시-02시","12월","사고건수[건]","건","3","5","4","4","2",
"터널안","00시-02시","12월","사망자수[명]","명","0","0","0","0","1",
"터널안","00시-02시","12월","부상자수[명]","명","4","8","11","5","3",
"터널안","02시-04시","전체","사고건수[건]","건","18","30","21","24","28",
"터널안","02시-04시","전체","사망자수[명]","명","1","2","2","2","3",
"터널안","02시-04시","전체","부상자수[명]","명","34","63","23","35","36",
"터널안","02시-04시","1월","사고건수[건]","건","2","4","1","1","1",
"터널안","02시-04시","1월","사망자수[명]","명","0","1","0","0","0",
"터널안","02시-04시","1월","부상자수[명]","명","9","5","1","1","2",
"터널안","02시-04시","2월","사고건수[건]","건","1","4","1","","2",
"터널안","02시-04시","2월","사망자수[명]","명","0","0","0","","0",
"터널안","02시-04시","2월","부상자수[명]","명","1","7","1","","4",
"터널안","02시-04시","3월","사고건수[건]","건","1","2","3","5","2",
"터널안","02시-04시","3월","사망자수[명]","명","0","0","0","0","0",
"터널안","02시-04시","3월","부상자수[명]","명","2","3","3","8","2",
"터널안","02시-04시","4월","사고건수[건]","건","1","3","2","1","2",
"터널안","02시-04시","4월","사망자수[명]","명","0","0","0","0","0",
"터널안","02시-04시","4월","부상자수[명]","명","3","6","3","1","3",
"터널안","02시-04시","5월","사고건수[건]","건","3","","1","3","3",
"터널안","02시-04시","5월","사망자수[명]","명","0","","0","0","0",
"터널안","02시-04시","5월","부상자수[명]","명","3","","1","5","3",
"터널안","02시-04시","6월","사고건수[건]","건","2","3","3","4","1",
"터널안","02시-04시","6월","사망자수[명]","명","0","0","1","1","0",
"터널안","02시-04시","6월","부상자수[명]","명","3","6","3","4","1",
"터널안","02시-04시","7월","사고건수[건]","건","1","","","2","5",
"터널안","02시-04시","7월","사망자수[명]","명","0","","","0","1",
"터널안","02시-04시","7월","부상자수[명]","명","1","","","4","5",
"터널안","02시-04시","8월","사고건수[건]","건","1","5","1","1","4",
"터널안","02시-04시","8월","사망자수[명]","명","0","0","0","0","1",
"터널안","02시-04시","8월","부상자수[명]","명","1","7","3","2","7",
"터널안","02시-04시","9월","사고건수[건]","건","2","3","2","2","1",
"터널안","02시-04시","9월","사망자수[명]","명","1","0","0","0","1",
"터널안","02시-04시","9월","부상자수[명]","명","1","3","2","6","0",
"터널안","02시-04시","10월","사고건수[건]","건","1","2","2","1","3",
"터널안","02시-04시","10월","사망자수[명]","명","0","0","0","0","0",
"터널안","02시-04시","10월","부상자수[명]","명","3","2","2","1","4",
"터널안","02시-04시","11월","사고건수[건]","건","1","","2","2","1",
"터널안","02시-04시","11월","사망자수[명]","명","0","","0","1","0",
"터널안","02시-04시","11월","부상자수[명]","명","5","","2","1","1",
"터널안","02시-04시","12월","사고건수[건]","건","2","4","3","2","3",
"터널안","02시-04시","12월","사망자수[명]","명","0","1","1","0","0",
"터널안","02시-04시","12월","부상자수[명]","명","2","24","2","2","4",
"터널안","04시-06시","전체","사고건수[건]","건","21","36","16","21","26",
"터널안","04시-06시","전체","사망자수[명]","명","2","3","0","5","1",
"터널안","04시-06시","전체","부상자수[명]","명","31","52","24","35","31",
"터널안","04시-06시","1월","사고건수[건]","건","4","4","1","2","1",
"터널안","04시-06시","1월","사망자수[명]","명","0","1","0","0","0",
"터널안","04시-06시","1월","부상자수[명]","명","7","5","1","5","1",
"터널안","04시-06시","2월","사고건수[건]","건","1","4","2","2","",
"터널안","04시-06시","2월","사망자수[명]","명","0","0","0","0","",
"터널안","04시-06시","2월","부상자수[명]","명","2","6","4","3","",
"터널안","04시-06시","3월","사고건수[건]","건","1","3","","","2",
"터널안","04시-06시","3월","사망자수[명]","명","0","0","","","0",
"터널안","04시-06시","3월","부상자수[명]","명","1","3","","","3",
"터널안","04시-06시","4월","사고건수[건]","건","3","2","3","1","",
"터널안","04시-06시","4월","사망자수[명]","명","1","0","0","0","",
"터널안","04시-06시","4월","부상자수[명]","명","4","5","4","1","",
"터널안","04시-06시","5월","사고건수[건]","건","1","1","1","1","3",
"터널안","04시-06시","5월","사망자수[명]","명","0","0","0","0","0",
"터널안","04시-06시","5월","부상자수[명]","명","2","3","1","1","3",
"터널안","04시-06시","6월","사고건수[건]","건","3","2","","3","3",
"터널안","04시-06시","6월","사망자수[명]","명","0","0","","0","0",
"터널안","04시-06시","6월","부상자수[명]","명","6","5","","9","3",
"터널안","04시-06시","7월","사고건수[건]","건","2","4","3","5","2",
"터널안","04시-06시","7월","사망자수[명]","명","0","1","0","1","0",
"터널안","04시-06시","7월","부상자수[명]","명","3","3","7","7","6",
"터널안","04시-06시","8월","사고건수[건]","건","1","4","","2","2",
"터널안","04시-06시","8월","사망자수[명]","명","1","0","","0","0",
"터널안","04시-06시","8월","부상자수[명]","명","0","8","","4","2",
"터널안","04시-06시","9월","사고건수[건]","건","1","2","1","","3",
"터널안","04시-06시","9월","사망자수[명]","명","0","0","0","","0",
"터널안","04시-06시","9월","부상자수[명]","명","2","2","1","","4",
"터널안","04시-06시","10월","사고건수[건]","건","2","8","1","","4",
"터널안","04시-06시","10월","사망자수[명]","명","0","1","0","","1",
"터널안","04시-06시","10월","부상자수[명]","명","2","10","1","","3",
"터널안","04시-06시","11월","사고건수[건]","건","","2","1","3","4",
"터널안","04시-06시","11월","사망자수[명]","명","","0","0","3","0",
"터널안","04시-06시","11월","부상자수[명]","명","","2","1","3","4",
"터널안","04시-06시","12월","사고건수[건]","건","2","","3","2","2",
"터널안","04시-06시","12월","사망자수[명]","명","0","","0","1","0",
"터널안","04시-06시","12월","부상자수[명]","명","2","","4","2","2",
"터널안","06시-08시","전체","사고건수[건]","건","50","50","55","59","49",
"터널안","06시-08시","전체","사망자수[명]","명","5","1","1","1","2",
"터널안","06시-08시","전체","부상자수[명]","명","117","84","117","103","72",
"터널안","06시-08시","1월","사고건수[건]","건","3","4","1","5","3",
"터널안","06시-08시","1월","사망자수[명]","명","0","0","0","0","0",
"터널안","06시-08시","1월","부상자수[명]","명","7","6","2","5","3",
"터널안","06시-08시","2월","사고건수[건]","건","5","2","3","4","",
"터널안","06시-08시","2월","사망자수[명]","명","1","0","0","0","",
"터널안","06시-08시","2월","부상자수[명]","명","16","2","6","6","",
"터널안","06시-08시","3월","사고건수[건]","건","3","4","5","2","4",
"터널안","06시-08시","3월","사망자수[명]","명","2","0","0","0","0",
"터널안","06시-08시","3월","부상자수[명]","명","4","9","5","2","9",
"터널안","06시-08시","4월","사고건수[건]","건","2","5","7","3","4",
"터널안","06시-08시","4월","사망자수[명]","명","0","0","0","0","1",
"터널안","06시-08시","4월","부상자수[명]","명","8","5","22","3","3",
"터널안","06시-08시","5월","사고건수[건]","건","4","4","12","14","5",
"터널안","06시-08시","5월","사망자수[명]","명","0","0","0","0","0",
"터널안","06시-08시","5월","부상자수[명]","명","17","7","27","29","8",
"터널안","06시-08시","6월","사고건수[건]","건","8","5","6","6","4",
"터널안","06시-08시","6월","사망자수[명]","명","0","0","0","0","0",
"터널안","06시-08시","6월","부상자수[명]","명","11","6","23","6","4",
"터널안","06시-08시","7월","사고건수[건]","건","4","1","5","5","3",
"터널안","06시-08시","7월","사망자수[명]","명","0","0","0","0","0",
"터널안","06시-08시","7월","부상자수[명]","명","12","1","11","6","6",
"터널안","06시-08시","8월","사고건수[건]","건","4","4","6","3","5",
"터널안","06시-08시","8월","사망자수[명]","명","1","0","0","0","0",
"터널안","06시-08시","8월","부상자수[명]","명","3","10","8","6","9",
"터널안","06시-08시","9월","사고건수[건]","건","4","6","3","5","5",
"터널안","06시-08시","9월","사망자수[명]","명","0","1","0","0","0",
"터널안","06시-08시","9월","부상자수[명]","명","7","11","4","11","10",
"터널안","06시-08시","10월","사고건수[건]","건","4","3","4","2","5",
"터널안","06시-08시","10월","사망자수[명]","명","1","0","0","1","0",
"터널안","06시-08시","10월","부상자수[명]","명","6","5","6","5","8",
"터널안","06시-08시","11월","사고건수[건]","건","4","5","1","6","6",
"터널안","06시-08시","11월","사망자수[명]","명","0","0","0","0","1",
"터널안","06시-08시","11월","부상자수[명]","명","15","8","2","16","7",
"터널안","06시-08시","12월","사고건수[건]","건","5","7","2","4","5",
"터널안","06시-08시","12월","사망자수[명]","명","0","0","1","0","0",
"터널안","06시-08시","12월","부상자수[명]","명","11","14","1","8","5",
"터널안","08시-10시","전체","사고건수[건]","건","80","117","101","84","81",
"터널안","08시-10시","전체","사망자수[명]","명","0","0","3","4","1",
"터널안","08시-10시","전체","부상자수[명]","명","173","274","214","157","138",
"터널안","08시-10시","1월","사고건수[건]","건","5","14","8","8","5",
"터널안","08시-10시","1월","사망자수[명]","명","0","0","0","0","0",
"터널안","08시-10시","1월","부상자수[명]","명","10","18","16","17","7",
"터널안","08시-10시","2월","사고건수[건]","건","3","7","11","12","4",
"터널안","08시-10시","2월","사망자수[명]","명","0","0","0","0","1",
"터널안","08시-10시","2월","부상자수[명]","명","4","29","24","20","5",
"터널안","08시-10시","3월","사고건수[건]","건","10","7","11","6","6",
"터널안","08시-10시","3월","사망자수[명]","명","0","0","1","1","0",
"터널안","08시-10시","3월","부상자수[명]","명","28","15","27","6","16",
"터널안","08시-10시","4월","사고건수[건]","건","4","7","12","3","5",
"터널안","08시-10시","4월","사망자수[명]","명","0","0","0","0","0",
"터널안","08시-10시","4월","부상자수[명]","명","7","22","29","4","9",
"터널안","08시-10시","5월","사고건수[건]","건","7","12","12","3","6",
"터널안","08시-10시","5월","사망자수[명]","명","0","0","0","0","0",
"터널안","08시-10시","5월","부상자수[명]","명","13","22","28","4","12",
"터널안","08시-10시","6월","사고건수[건]","건","5","11","4","13","5",
"터널안","08시-10시","6월","사망자수[명]","명","0","0","0","1","0",
"터널안","08시-10시","6월","부상자수[명]","명","11","33","5","21","5",
"터널안","08시-10시","7월","사고건수[건]","건","3","10","7","10","11",
"터널안","08시-10시","7월","사망자수[명]","명","0","0","0","0","0",
"터널안","08시-10시","7월","부상자수[명]","명","10","18","16","18","23",
"터널안","08시-10시","8월","사고건수[건]","건","11","7","11","4","8",
"터널안","08시-10시","8월","사망자수[명]","명","0","0","0","1","0",
"터널안","08시-10시","8월","부상자수[명]","명","31","14","24","10","16",
"터널안","08시-10시","9월","사고건수[건]","건","7","12","9","6","9",
"터널안","08시-10시","9월","사망자수[명]","명","0","0","0","0","0",
"터널안","08시-10시","9월","부상자수[명]","명","14","24","12","16","15",
"터널안","08시-10시","10월","사고건수[건]","건","9","6","7","8","10",
"터널안","08시-10시","10월","사망자수[명]","명","0","0","1","1","0",
"터널안","08시-10시","10월","부상자수[명]","명","21","20","14","14","12",
"터널안","08시-10시","11월","사고건수[건]","건","10","10","4","7","6",
"터널안","08시-10시","11월","사망자수[명]","명","0","0","0","0","0",
"터널안","08시-10시","11월","부상자수[명]","명","15","32","6","20","10",
"터널안","08시-10시","12월","사고건수[건]","건","6","14","5","4","6",
"터널안","08시-10시","12월","사망자수[명]","명","0","0","1","0","0",
"터널안","08시-10시","12월","부상자수[명]","명","9","27","13","7","8",
"터널안","10시-12시","전체","사고건수[건]","건","103","79","108","87","93",
"터널안","10시-12시","전체","사망자수[명]","명","4","0","1","3","4",
"터널안","10시-12시","전체","부상자수[명]","명","259","186","257","186","189",
"터널안","10시-12시","1월","사고건수[건]","건","7","7","11","4","6",
"터널안","10시-12시","1월","사망자수[명]","명","0","0","0","1","0",
"터널안","10시-12시","1월","부상자수[명]","명","18","14","36","6","12",
"터널안","10시-12시","2월","사고건수[건]","건","5","8","5","6","7",
"터널안","10시-12시","2월","사망자수[명]","명","0","0","0","0","0",
"터널안","10시-12시","2월","부상자수[명]","명","21","38","12","10","19",
"터널안","10시-12시","3월","사고건수[건]","건","9","5","7","9","10",
"터널안","10시-12시","3월","사망자수[명]","명","0","0","1","0","1",
"터널안","10시-12시","3월","부상자수[명]","명","14","10","16","19","16",
"터널안","10시-12시","4월","사고건수[건]","건","4","5","9","4","10",
"터널안","10시-12시","4월","사망자수[명]","명","0","0","0","1","0",
"터널안","10시-12시","4월","부상자수[명]","명","7","8","32","6","23",
"터널안","10시-12시","5월","사고건수[건]","건","7","10","11","14","3",
"터널안","10시-12시","5월","사망자수[명]","명","0","0","0","0","0",
"터널안","10시-12시","5월","부상자수[명]","명","18","21","18","33","6",
"터널안","10시-12시","6월","사고건수[건]","건","19","4","3","4","4",
"터널안","10시-12시","6월","사망자수[명]","명","0","0","0","0","1",
"터널안","10시-12시","6월","부상자수[명]","명","61","5","10","10","5",
"터널안","10시-12시","7월","사고건수[건]","건","13","5","13","6","11",
"터널안","10시-12시","7월","사망자수[명]","명","1","0","0","0","0",
"터널안","10시-12시","7월","부상자수[명]","명","32","12","26","16","20",
"터널안","10시-12시","8월","사고건수[건]","건","8","5","12","12","5",
"터널안","10시-12시","8월","사망자수[명]","명","0","0","0","1","0",
"터널안","10시-12시","8월","부상자수[명]","명","26","12","23","27","15",
"터널안","10시-12시","9월","사고건수[건]","건","10","7","13","5","13",
"터널안","10시-12시","9월","사망자수[명]","명","1","0","0","0","2",
"터널안","10시-12시","9월","부상자수[명]","명","17","22","26","7","21",
"터널안","10시-12시","10월","사고건수[건]","건","7","7","8","8","7",
"터널안","10시-12시","10월","사망자수[명]","명","1","0","0","0","0",
"터널안","10시-12시","10월","부상자수[명]","명","12","16","16","11","15",
"터널안","10시-12시","11월","사고건수[건]","건","8","7","10","5","7",
"터널안","10시-12시","11월","사망자수[명]","명","0","0","0","0","0",
"터널안","10시-12시","11월","부상자수[명]","명","22","13","25","9","19",
"터널안","10시-12시","12월","사고건수[건]","건","6","9","6","10","10",
"터널안","10시-12시","12월","사망자수[명]","명","1","0","0","0","0",
"터널안","10시-12시","12월","부상자수[명]","명","11","15","17","32","18",
"터널안","12시-14시","전체","사고건수[건]","건","77","74","78","98","94",
"터널안","12시-14시","전체","사망자수[명]","명","2","1","3","14","2",
"터널안","12시-14시","전체","부상자수[명]","명","176","211","204","253","211",
"터널안","12시-14시","1월","사고건수[건]","건","7","8","6","5","10",
"터널안","12시-14시","1월","사망자수[명]","명","0","0","1","0","0",
"터널안","12시-14시","1월","부상자수[명]","명","12","14","16","8","29",
"터널안","12시-14시","2월","사고건수[건]","건","8","6","13","5","12",
"터널안","12시-14시","2월","사망자수[명]","명","0","0","0","6","1",
"터널안","12시-14시","2월","부상자수[명]","명","12","9","32","37","27",
"터널안","12시-14시","3월","사고건수[건]","건","7","2","3","3","8",
"터널안","12시-14시","3월","사망자수[명]","명","0","0","0","1","0",
"터널안","12시-14시","3월","부상자수[명]","명","13","6","11","4","10",
"터널안","12시-14시","4월","사고건수[건]","건","6","7","9","5","6",
"터널안","12시-14시","4월","사망자수[명]","명","0","0","0","2","0",
"터널안","12시-14시","4월","부상자수[명]","명","18","17","33","11","9",
"터널안","12시-14시","5월","사고건수[건]","건","6","7","10","10","8",
"터널안","12시-14시","5월","사망자수[명]","명","1","0","0","0","1",
"터널안","12시-14시","5월","부상자수[명]","명","9","34","20","23","13",
"터널안","12시-14시","6월","사고건수[건]","건","4","8","8","11","5",
"터널안","12시-14시","6월","사망자수[명]","명","0","0","1","2","0",
"터널안","12시-14시","6월","부상자수[명]","명","4","30","20","21","15",
"터널안","12시-14시","7월","사고건수[건]","건","10","3","4","12","4",
"터널안","12시-14시","7월","사망자수[명]","명","0","0","0","0","0",
"터널안","12시-14시","7월","부상자수[명]","명","30","11","8","32","6",
"터널안","12시-14시","8월","사고건수[건]","건","9","4","3","12","11",
"터널안","12시-14시","8월","사망자수[명]","명","0","0","0","0","0",
"터널안","12시-14시","8월","부상자수[명]","명","26","18","14","31","35",
"터널안","12시-14시","9월","사고건수[건]","건","2","8","4","9","6",
"터널안","12시-14시","9월","사망자수[명]","명","0","1","0","0","0",
"터널안","12시-14시","9월","부상자수[명]","명","4","25","8","18","22",
"터널안","12시-14시","10월","사고건수[건]","건","5","11","7","6","9",
"터널안","12시-14시","10월","사망자수[명]","명","0","0","1","0","0",
"터널안","12시-14시","10월","부상자수[명]","명","15","26","17","33","17",
"터널안","12시-14시","11월","사고건수[건]","건","6","5","8","9","7",
"터널안","12시-14시","11월","사망자수[명]","명","0","0","0","2","0",
"터널안","12시-14시","11월","부상자수[명]","명","21","12","20","23","13",
"터널안","12시-14시","12월","사고건수[건]","건","7","5","3","11","8",
"터널안","12시-14시","12월","사망자수[명]","명","1","0","0","1","0",
"터널안","12시-14시","12월","부상자수[명]","명","12","9","5","12","15",
"터널안","14시-16시","전체","사고건수[건]","건","101","104","123","117","117",
"터널안","14시-16시","전체","사망자수[명]","명","3","2","3","1","5",
"터널안","14시-16시","전체","부상자수[명]","명","218","298","332","264","278",
"터널안","14시-16시","1월","사고건수[건]","건","9","5","11","15","8",
"터널안","14시-16시","1월","사망자수[명]","명","1","0","0","0","1",
"터널안","14시-16시","1월","부상자수[명]","명","22","11","19","44","12",
"터널안","14시-16시","2월","사고건수[건]","건","8","5","10","6","6",
"터널안","14시-16시","2월","사망자수[명]","명","0","0","1","0","0",
"터널안","14시-16시","2월","부상자수[명]","명","20","17","43","11","24",
"터널안","14시-16시","3월","사고건수[건]","건","14","8","5","8","9",
"터널안","14시-16시","3월","사망자수[명]","명","0","0","0","0","2",
"터널안","14시-16시","3월","부상자수[명]","명","26","24","18","22","13",
"터널안","14시-16시","4월","사고건수[건]","건","9","10","10","8","9",
"터널안","14시-16시","4월","사망자수[명]","명","0","0","1","0","0",
"터널안","14시-16시","4월","부상자수[명]","명","16","67","26","12","22",
"터널안","14시-16시","5월","사고건수[건]","건","10","7","7","12","14",
"터널안","14시-16시","5월","사망자수[명]","명","1","0","1","0","0",
"터널안","14시-16시","5월","부상자수[명]","명","30","20","18","19","40",
"터널안","14시-16시","6월","사고건수[건]","건","8","5","15","14","17",
"터널안","14시-16시","6월","사망자수[명]","명","0","0","0","1","0",
"터널안","14시-16시","6월","부상자수[명]","명","14","11","48","35","40",
"터널안","14시-16시","7월","사고건수[건]","건","8","11","11","11","9",
"터널안","14시-16시","7월","사망자수[명]","명","1","0","0","0","1",
"터널안","14시-16시","7월","부상자수[명]","명","17","32","23","32","27",
"터널안","14시-16시","8월","사고건수[건]","건","5","12","11","11","10",
"터널안","14시-16시","8월","사망자수[명]","명","0","0","0","0","0",
"터널안","14시-16시","8월","부상자수[명]","명","9","27","31","25","20",
"터널안","14시-16시","9월","사고건수[건]","건","11","11","12","13","10",
"터널안","14시-16시","9월","사망자수[명]","명","0","0","0","0","0",
"터널안","14시-16시","9월","부상자수[명]","명","25","23","34","28","22",
"터널안","14시-16시","10월","사고건수[건]","건","6","15","11","7","7",
"터널안","14시-16시","10월","사망자수[명]","명","0","0","0","0","0",
"터널안","14시-16시","10월","부상자수[명]","명","19","24","30","12","12",
"터널안","14시-16시","11월","사고건수[건]","건","9","7","13","6","9",
"터널안","14시-16시","11월","사망자수[명]","명","0","1","0","0","1",
"터널안","14시-16시","11월","부상자수[명]","명","13","24","30","11","17",
"터널안","14시-16시","12월","사고건수[건]","건","4","8","7","6","9",
