RECV_DEPT_NM,RECV_CPLT_DM,NPA_CL,EVT_STAT_CD,EVT_CL_CD,RPTER_SEX,HPPN_PNU_ADDR,HPPN_X,HPPN_Y,SME_EVT_YN
충남청,1606802798,19,10,215,1,충청남도 아산시 온천동(온양1동) 1556(신학산텔레콤),127.0017,36.7869,-1
충남청,1606802000,19,10,215,2,충청남도 공주시 우성면 동대리(행정:우성면) 173,127.05212,36.470196,-1
충남청,1606788943,19,10,215,2,충청남도 공주시 반포면 공암리(행정:반포면) ,127.25117,36.395767,-1
충남청,1606795689,19,10,215,1,충청남도 아산시 음봉면 삼거리(행정:음봉면) 203-3,127.01249,36.849075,-1
충남청,1606798807,19,10,215,1,충청남도 천안시 동남구 다가동(일봉동) 354-1(농협중앙회봉명지점),127.1407,36.802345,-1
충남청,1606798907,19,10,215,1,충청남도 태안군 태안읍 남산리(행정:태안읍) 801-6,126.28011,36.717606,-1
충남청,1606799016,19,10,215,2,충청남도 천안시 서북구 성정동(행정:성정1동) 724-16,127.13565,36.813473,-1
충남청,1606789154,19,10,215,1,충청남도 서산시 해미면 읍내리(행정:해미면) 353-3,126.54494,36.71373,-1
충남청,1606799241,19,10,215,2,충청남도 청양군 정산면 서정리(행정:정산면) 496-1,126.94511,36.4149,-1
충남청,1606789904,19,10,215,2,충청남도 당진시 송악읍 금곡리(행정:송악읍) 274-26,126.73137,36.91823,-1
충남청,1606790373,19,10,215,1,충청남도 아산시 신창면 행목리(행정:신창면) 248-3,126.95321,36.77721,-1
충남청,1606791466,19,10,215,2,충청남도 금산군 금성면 화림리(행정:금성면) ,127.441376,36.123188,-1
충남청,1606797037,19,10,215,2,충청남도 천안시 서북구 와촌동(행정:봉명동) ,127.14484,36.81033,-1
대전청,1606797376,13,10,215,1,대전광역시 유성구 도룡동(행정:신성동) ,127.37807,36.38538,-1
충남청,1606793947,19,10,215,2,충청남도 공주시 신관동(행정:신관동) 643-6,127.13348,36.47248,-1
충남청,1606787525,19,10,215,1,충청남도 당진시 읍내동(당진1동) 232-1(국민은행 당진),126.63288,36.895027,1
충남청,1606787595,19,10,215,3,충청남도 당진시 읍내동(당진1동) 232-1(국민은행 당진),0.0,0.0,1
충남청,1606785423,19,10,215,1,충청남도 보령시 청라면 향천리(행정:청라면) 126,126.649185,36.372807,-1
충남청,1606798140,19,10,215,2,충청남도 천안시 서북구 입장면 하장리(입장면) 199,127.22174,36.912712,-1
