RECV_CPLT_DM,NPA_CL,EVT_STAT_CD,EVT_CL_CD,RPTER_SEX,HPPN_OLD_ADDR,HPPN_X,HPPN_Y
1577945368,13,10,215,2,0,127.40466,36.341686
1577936031,13,10,215,1,대전광역시 동구 용전동(행정:용전동) 220,127.430176,36.336494
1577938924,13,10,215,1,대전광역시 서구 도안동(행정:가수원동) 1564,127.348045,36.310257
1577929591,13,10,215,2,대전광역시 유성구 대정동(행정:진잠동) 1-4,127.33637,36.317772
1577939500,13,10,215,1,대전광역시 서구 도안동(행정:가수원동) 1564,127.349464,36.310192
1577950012,13,10,215,1,0,127.40466,36.341686
1577943450,13,10,215,2,대전광역시 서구 갈마동(갈마1동) 900(정다운빌라 501호),127.37322,36.35156
1577933196,13,10,215,1,대전광역시 유성구 봉명동(행정:원신흥동) 1071-1,127.348076,36.346203
1577969887,13,10,215,1,0,127.40466,36.341686
1577948584,19,10,215,1,충청남도 홍성군 광천읍 광천리(행정:광천읍) 248-29,126.62629,36.502205
1577953932,19,10,215,2,충청남도 서천군 판교면 상좌리(행정:판교면) 245,126.65811,36.155136
1577959958,19,10,215,1,경기도 평택시 합정동(행정:신평동) 735-5,127.09223,36.991177
1577954630,19,10,215,2,충청남도 서천군 판교면 상좌리(행정:판교면) 245,126.65811,36.155136
1577956599,19,10,215,3,충청남도 천안시 동남구 대흥동(행정:중앙동) 57-1,127.14731,36.809246
1577956783,19,10,215,3,충청남도 천안시 동남구 대흥동(행정:중앙동) 57-1,127.14731,36.809246
1577964565,19,10,215,2,충청남도 아산시 온천동(행정:온양2동) 501,126.99918,36.77782
1577957083,19,10,215,3,충청남도 천안시 동남구 대흥동(행정:중앙동) 57-1,127.14731,36.809246
1577957313,19,10,215,3,충청남도 천안시 동남구 대흥동(행정:중앙동) 57-1,127.14731,36.809246
1577957756,19,10,215,3,충청남도 천안시 동남구 대흥동(행정:중앙동) 57-1,127.14731,36.809246
1577953669,19,10,215,1,충청남도 서산시 동문동(행정:동문1동) 447-2,126.45852,36.786858
1577947714,19,10,215,1,세종특별자치시 세종시 전동면 노장리(행정:전동면) 440-2,127.272995,36.659794
1577947917,19,10,215,1,세종특별자치시 세종시 전동면 노장리(행정:전동면) 440-2,127.272995,36.659794
1577928209,19,10,215,2,충청남도 서산시 대산읍 대산리(행정:대산읍) 688-1,126.4261,36.947617
1577943408,19,10,215,1,충청남도 천안시 동남구 신부동(행정:신안동) 945-22,127.14961,36.8194
1577938924,19,10,215,1,대전광역시 서구 도안동(행정:가수원동) 1564,127.348045,36.310257
1577930420,19,10,215,1,충청남도 논산시 내동(행정:취암동) 1113,127.104065,36.182762
1577939500,19,10,215,1,대전광역시 서구 도안동(행정:가수원동) 1564,127.349464,36.310192
1577925229,19,10,215,1,충청남도 천안시 서북구 차암동(부성2동) 524,127.10444,36.841583
1577925765,19,10,215,1,충청남도 아산시 풍기동(행정:온양6동) 404-33,127.02187,36.77121
1578046699,13,10,215,2,대전광역시 서구 둔산동(둔산2동) 1347(대한생명),127.38061,36.355267
1578047878,13,10,215,2,대전광역시 서구 둔산동(둔산2동) 1347(대한생명),127.38061,36.355267
1578040467,13,10,215,2,0,0.0,0.0
1578022299,13,10,215,1,대전광역시 유성구 도룡동,127.39975,36.375664
1578011685,13,10,215,2,대전광역시 대덕구 법동(행정:법2동) 191-1,127.43143,36.369076
1578024777,13,10,215,2,대전광역시 유성구 반석동,127.31925,36.388565
1578016837,13,10,215,1,대전광역시 대덕구 석봉동(행정:석봉동) 312-6,127.42398,36.44804
1578017167,13,10,215,2,0,127.40466,36.341686
1578017315,13,10,215,2,대전광역시 유성구 추목동(행정:신성동) 194-1,127.3562,36.40824
1578028764,13,10,215,1,0,127.40466,36.341686
1578018406,13,10,215,3,대전광역시 서구 월평동(월평1동) 187-13,127.35111,36.349167
1578029927,13,10,215,2,대전광역시 중구 대흥동(행정:대흥동) 583-10,127.416595,36.322845
1578018768,13,10,215,1,대전광역시 서구 둔산동(둔산1동) 1501(V 남원프라자),127.389854,36.35097
1578052578,19,10,215,1,충청남도 천안시 서북구 쌍용동(행정:쌍용1동) 220-13,127.126396,36.798443
1578052592,19,10,215,1,충청남도 천안시 서북구 쌍용동(행정:쌍용3동) 1914,127.12207,36.80503
1578028520,19,10,215,2,충청남도 아산시 음봉면 산동리(행정:음봉면) 423-2,127.096344,36.82902
1578040896,19,10,215,1,충청남도 천안시 동남구 풍세면 용정리(행정:풍세면) 74,127.1196,36.74067
1578046760,19,10,215,1,세종특별자치시 세종시 아름동(도담동) 293,127.2498,36.518345
1578041212,19,10,215,2,세종특별자치시 세종시 조치원읍 죽림리(행정:조치원읍) 396,127.29057,36.59
1578021944,19,10,215,2,충청남도 서산시 동문동(행정:동문1동),126.46095,36.79563
1578015967,19,10,215,2,충청남도 금산군 금산읍 상리(행정:금산읍) 137-3,127.488815,36.102745
1578016388,19,10,215,2,충청남도 금산군 금산읍 상리(행정:금산읍) 137-3,127.488815,36.102745
1578024845,19,10,215,2,충청남도 천안시 서북구 업성동(행정:부성1동) 174-1,127.13676,36.857536
1578024813,19,10,215,2,충청남도 천안시 동남구 동면 죽계리(동면) 24-2,127.39361,36.794167
1578031578,19,10,215,2,충청남도 천안시 동남구 북면 용암리(행정:북면) 165-1,127.2643,36.799946
1578018703,19,10,215,1,충청남도 천안시 동남구 신부동(신안동) 388-15,127.15139,36.81778
1578026032,19,10,215,1,충청남도 논산시 내동(행정:취암동) 824,127.09873,36.18718
1578026209,19,10,215,2,충청남도 아산시 신창면 남성리(행정:신창면) 134-8,126.96131,36.788994
1578026436,19,10,215,1,충청남도 아산시 풍기동(행정:온양6동) 323-1,127.02299,36.771
1578044923,19,10,215,1,충청남도 천안시 서북구 성환읍 성월리(행정:성환읍) 130-35,127.1402,36.916454
1578020026,19,10,215,1,충청남도 천안시 동남구 봉명동(행정:봉명동) 331-1,127.13271,36.81522
1578115688,13,10,215,2,대전광역시 서구 정림동(정림동) 546,127.36524,36.30631
1578117705,13,10,215,1,대전광역시 유성구 상대동(행정:원신흥동) 464,127.33616,36.34487
1578118969,13,10,215,2,0,127.40466,36.341686
1578106095,13,10,215,2,대전광역시 동구 가오동(행정:효동) 116,127.45472,36.3095
1578126191,13,10,215,2,대전광역시 중구 유천동(행정:유천2동) 188-15,127.39881,36.32128
1578132379,13,10,215,1,0,127.40466,36.341686
1578197550,13,10,215,1,0,127.40466,36.341686
1578190865,19,10,215,2,0,0.0,0.0
1578287955,13,10,215,1,0,127.40466,36.341686
1578281383,13,10,215,2,대전광역시 서구 내동(행정:내동) 27-31,127.37377,36.332207
1578291054,13,10,215,2,0,127.40466,36.341686
1578312839,13,10,215,2,대전광역시 동구 판암동(행정:판암1동) 839,127.45741,36.319572
1578282790,19,10,215,1,충청남도 공주시 웅진동(행정:웅진동) 242-12,127.110565,36.456425
1578289823,19,10,215,1,충청남도 아산시 신창면 남성리(행정:신창면) 599-4,126.94885,36.784016
1578275518,19,10,215,2,0,0.0,0.0
1578291073,19,10,215,1,충청남도 아산시 음봉면 월랑리(행정:음봉면) 615,127.073364,36.842663
1578287042,19,10,215,1,충청남도 홍성군 은하면 화봉리(행정:은하면) 1009-2,126.58928,36.515636
1578292936,19,10,215,3,충청남도 천안시 서북구 입장면 신덕리(입장면) 107-7,127.21139,36.90361
1578293165,19,10,215,3,충청남도 천안시 서북구 입장면 신덕리(입장면) 107-7,127.21139,36.90361
1578299264,19,10,215,2,충청남도 천안시 동남구 신부동(행정:신안동) 451-5,127.15365,36.818066
1578281628,19,10,215,1,0,0.0,0.0
1578307209,19,10,215,2,충청남도 아산시 온천동(행정:온양1동) 80-14,127.00718,36.781338
1578386741,13,10,215,1,0,127.40466,36.341686
1578362841,13,10,215,1,대전광역시 동구 인동(신인동) 358(동대전농협협동조합),127.443016,36.320286
1578364387,13,10,215,1,대전광역시 유성구 자운동(행정:신성동),127.35016,36.39371
1578376728,13,10,215,1,대전광역시 서구 둔산동(행정:둔산3동) 2285,127.40221,36.34902
1578364849,13,10,215,2,대전광역시 서구 관저동(행정:관저2동) 1340,127.33977,36.299324
1578377277,13,10,215,1,0,127.40466,36.341686
1578377869,13,10,215,1,대전광역시 서구 둔산동(행정:둔산3동) 2286,127.40236,36.3493
1578377981,13,10,215,1,대전광역시 서구 둔산동(행정:둔산3동) 2286,127.40236,36.3493
1578365544,13,10,215,1,대전광역시 유성구 자운동(행정:신성동),127.35016,36.39371
1578365604,13,10,215,2,0,127.40466,36.341686
1578379005,13,10,215,2,0,127.40466,36.341686
1578368166,13,10,215,1,대전광역시 서구 월평동(행정:월평2동) 223,127.377846,36.363605
1578368106,13,10,215,2,대전광역시 유성구 지족동(노은3동) 1041,127.3055,36.38181
